name,latitude,longitude,capacity,type,status,suitability,barangay,operator
Octagon Multi-Purpose Hall,14.610544,121.09724,,community_centre,POTENTIAL,Community centre - suitable for shelter,,
Octagon Phase 3 Multi-Purpose Hall,14.612782,121.099683,,community_centre,POTENTIAL,Community centre - suitable for shelter,,
Our Lady of Perpetual Help School,14.61362,121.085499,,school,POTENTIAL,School - commonly used as evacuation center,,
Padre Pio Learning Center,14.63452,121.094188,,school,POTENTIAL,School - commonly used as evacuation center,,
Pathfinder,14.648399,121.114694,,school,POTENTIAL,School - commonly used as evacuation center,,
Primemont Science School,14.664774,121.114866,,school,POTENTIAL,School - commonly used as evacuation center,,
Providence Christian School,14.638303,121.084455,,school,POTENTIAL,School - commonly used as evacuation center,,
Q Family Center,14.667922,121.101096,,community_centre,POTENTIAL,Community centre - suitable for shelter,,
RDJ Center Building,14.62204,121.10943,,community_centre,POTENTIAL,Community centre - suitable for shelter,,
Saint Gregory Elementary School,14.626971,121.108778,,school,POTENTIAL,School - commonly used as evacuation center,,Cainta II District
Saint Mary Elementary School,14.668703,121.113483,,school,POTENTIAL,School - commonly used as evacuation center,,"District II Marikina City Schools Division, DepEd"
Saint Nicholas High School,14.661852,121.101315,,school,POTENTIAL,School - commonly used as evacuation center,,
Samahang Tanglaw Multi-Purpose Hall,14.641752,121.092412,,community_centre,POTENTIAL,Community centre - suitable for shelter,,
San Lorenzo Ruiz de Manila School,14.67036,121.107586,,school,POTENTIAL,School - commonly used as evacuation center,,Diocese of Antipolo School System
San Roque Barangay Multipurpose Hall,14.625828,121.10299,,community_centre,POTENTIAL,Community centre - suitable for shelter,,
Santa Elena High School,14.632361,121.09739,,school,POTENTIAL,School - commonly used as evacuation center,,District I
Santo Niño Elementary School,14.609433,121.102352,,school,POTENTIAL,School - commonly used as evacuation center,,"District IV Pasig City Schools Division, DepEd"
Santo Niño Multi-purpose Hall,14.609181,121.102508,,community_centre,POTENTIAL,Community centre - suitable for shelter,,
Santo Niño National High School,14.639011,121.096252,,school,POTENTIAL,School - commonly used as evacuation center,,"District I Marikina City Schools Division, DepEd"
Santolan High School,14.615572,121.083435,,school,POTENTIAL,School - commonly used as evacuation center,,District I
Santolan Multi Purpose Hall,14.612125,121.086604,,community_centre,POTENTIAL,Community centre - suitable for shelter,,
Senior Citizen's Hall,14.601144,121.100742,,community_centre,POTENTIAL,Community centre - suitable for shelter,,
St Chamuel Institute of Technology,14.620843,121.103799,,school,POTENTIAL,School - commonly used as evacuation center,,
St. Mary's Covered Court,14.668727,121.113278,,sports_complex,POTENTIAL,Sports facility - large covered space,,
St. Nicholas Elementary School,14.663632,121.103251,,school,POTENTIAL,School - commonly used as evacuation center,,
St. Scholastica Academy,14.65237,121.117199,,school,POTENTIAL,School - commonly used as evacuation center,,
St. Therese School of Technology,14.678145,121.082219,,school,POTENTIAL,School - commonly used as evacuation center,,
