name,@lat,@lon
Bangkilya Street,14.6236905,121.1000439
Mayor Juan Chanyungco Street,14.6325391,121.0993223
Eagle Street,14.6304477,121.1005241
Redwood Street,14.627218,121.1005669
Pine Street,14.6267078,121.1003151
Elm Street,14.6262374,121.1003935
Chestnut Street,14.6256804,121.1007229
Flamingo Street,14.6292034,121.1012992
Pili Nut Street,14.625142,121.1007297
Walnut Street,14.6259438,121.0991303
General Malvar Street,14.6354395,121.0908725
A. Flores Street,14.635104,121.0914461
P. Zamora Street,14.635016,121.0919689
Kapitan Sindo Street,14.6349234,121.0922502
General Julian Cruz Street,14.6330686,121.082388
Berchmans Street,14.6331529,121.0798269
Dela Costa Homes 1 Street,14.6348964,121.0825168
Dollar Street,14.6302278,121.0800706
Pound Street,14.6303165,121.0796242
Euro Street,14.6299535,121.0804546
Dinnar Street,14.6288317,121.0813911
Euro Street,14.6310168,121.0795294
M. Cruz Street,14.6314438,121.0799224
M. Gonzalez Street,14.6317405,121.0796329
Kap. Sendong Street,14.6316783,121.0789017
T. Josef Street,14.6318264,121.0791531
C-5 Access Road,14.6276027,121.0820057
Road 2 Street,14.6328413,121.0853723
Road 3 Street,14.6332885,121.085799
Road 4 Street,14.6330958,121.0860499
Manggahan Street,14.6336239,121.0867206
Tavera Street,14.6342041,121.0873026
General Julian Street,14.6338132,121.0876641
General Julian Street,14.6332964,121.0871096
A. Flores Street,14.6363833,121.0915495
Lopez Jaena Street,14.6343483,121.0860993
Loyola Street,14.6335522,121.0840709
C. Cruz Street,14.6326925,121.0949139
Deguangco Street,14.6300083,121.0948102
Doña A. Tuazon,14.6296064,121.0949491
Valdez,14.6296355,121.0951046
Kapitan Venciong Street,14.6333091,121.0959395
P. de la Paz Street,14.6343245,121.0963445
Villalon Street,14.6352171,121.0961851
Naglagos Street,14.6354715,121.0952238
E. Dela Paz Street,14.6339605,121.0964649
Jacamar Street,14.6336235,121.0980896
Lark Street,14.6341114,121.1002361
Flamingo Street,14.6336369,121.1009582
City Hall Road,14.6327329,121.0981996
City Hall Road,14.6327953,121.0986343
Guerilla Street,14.6377532,121.0964976
V. Santos Street,14.6365764,121.0967416
Nimfa Street,14.6372254,121.096918
E. Jacinto Street,14.6371373,121.0964691
M. Cruz Street,14.6376355,121.0946874
Nalugod Street,14.6382694,121.0948506
Padre Burgos Street,14.63979,121.094654
E. Dela Paz Street,14.6387519,121.0957146
Lazaro Street,14.6384926,121.0971966
Virginia Street,14.6404413,121.0953646
E. Santos Street,14.6406015,121.0963798
B. Dela Cruz Street,14.6400008,121.0974311
Santisimo Street,14.6403835,121.097876
Eustaquio Street,14.6402849,121.0962651
Kapitan Enrico Cruz Street,14.6411711,121.0962761
B. Santos Street,14.6406452,121.097122
Pearl Street,14.6418108,121.0984665
Opal Street,14.6417776,121.0963116
Diamond Street,14.6425294,121.0961655
Kapitan Antonio P. Santos Street,14.6318419,121.0961357
Fernando Tuazon Street,14.6329619,121.0804144
B. Santa Ana Street,14.6242654,121.103321
Almond Nut Street,14.6251564,121.1030191
Betel Nut Street,14.6247239,121.1029329
